Date,area_A - LAI
10-01-2015,0.22
20-01-2015,0.19
31-01-2015,0.18
10-02-2015,0.16
20-02-2015,0.14
28-02-2015,0.13
10-03-2015,0.12
20-03-2015,0.13
31-03-2015,0.14
10-04-2015,0.12
20-04-2015,0.13
30-04-2015,0.16
10-05-2015,0.22
20-05-2015,0.37
31-05-2015,0.51
10-06-2015,0.52
20-06-2015,0.45
30-06-2015,0.44
10-07-2015,0.47
20-07-2015,0.55
31-07-2015,0.76
10-08-2015,0.98
20-08-2015,1.23
31-08-2015,1.33
10-09-2015,1.23
20-09-2015,1.03
30-09-2015,0.71
10-10-2015,0.44
20-10-2015,0.31
31-10-2015,0.24
10-11-2015,0.23
20-11-2015,0.21
30-11-2015,0.18
10-12-2015,0.16
20-12-2015,0.16
31-12-2015,0.16
10-01-2016,0.15
20-01-2016,0.15
31-01-2016,0.14
10-02-2016,0.13
20-02-2016,0.13
29-02-2016,0.14
10-03-2016,0.15
20-03-2016,0.13
31-03-2016,0.13
10-04-2016,0.16
20-04-2016,0.31
30-04-2016,0.63
10-05-2016,1.09
20-05-2016,1.1
31-05-2016,0.78
10-06-2016,0.57
20-06-2016,0.56
30-06-2016,0.62
10-07-2016,0.76
20-07-2016,1
31-07-2016,1.3
10-08-2016,1.6
20-08-2016,1.9
31-08-2016,2.01
10-09-2016,1.93
20-09-2016,1.77
30-09-2016,1.5
10-10-2016,1.1
20-10-2016,0.71
31-10-2016,0.5
10-11-2016,0.38
20-11-2016,0.32
30-11-2016,0.34
10-12-2016,0.34
20-12-2016,0.28
31-12-2016,0.23
10-01-2017,0.19
20-01-2017,0.16
31-01-2017,0.14
10-02-2017,0.15
20-02-2017,0.16
28-02-2017,0.17
10-03-2017,0.16
20-03-2017,0.17
31-03-2017,0.21
10-04-2017,0.21
20-04-2017,0.21
30-04-2017,0.26
10-05-2017,0.31
20-05-2017,0.35
31-05-2017,0.35
10-06-2017,0.37
20-06-2017,0.36
30-06-2017,0.45
10-07-2017,0.61
20-07-2017,0.93
31-07-2017,1.33
10-08-2017,1.8
20-08-2017,2.19
31-08-2017,2.36
10-09-2017,2.37
20-09-2017,2.24
30-09-2017,1.93
10-10-2017,1.48
20-10-2017,0.97
31-10-2017,0.55
10-11-2017,0.44
20-11-2017,0.36
30-11-2017,0.3
10-12-2017,0.25
20-12-2017,0.21
31-12-2017,0.17
10-01-2018,0.15
20-01-2018,0.13
31-01-2018,0.12
10-02-2018,0.11
20-02-2018,0.14
28-02-2018,0.16
10-03-2018,0.19
20-03-2018,0.23
31-03-2018,0.28
10-04-2018,0.35
20-04-2018,0.41
30-04-2018,0.43
10-05-2018,0.44
20-05-2018,0.41
31-05-2018,0.41
10-06-2018,0.45
20-06-2018,0.54
30-06-2018,0.67
10-07-2018,NA
20-07-2018,1.14
31-07-2018,1.47
10-08-2018,1.8
20-08-2018,1.92
31-08-2018,2.18
10-09-2018,2.03
20-09-2018,1.66
30-09-2018,0.97
10-10-2018,0.54
20-10-2018,0.38
31-10-2018,0.31
10-11-2018,0.31
20-11-2018,0.31
30-11-2018,0.29
10-12-2018,0.24
20-12-2018,0.19
31-12-2018,0.15
10-01-2019,0.13
20-01-2019,0.12
31-01-2019,0.1
10-02-2019,0.1
20-02-2019,0.09
28-02-2019,0.1
10-03-2019,0.11
20-03-2019,0.12
31-03-2019,0.13
10-04-2019,0.15
20-04-2019,0.2
30-04-2019,0.23
10-05-2019,0.23
20-05-2019,0.27
31-05-2019,0.34
10-06-2019,0.42
20-06-2019,0.5
30-06-2019,0.62
10-07-2019,0.86
20-07-2019,1.13
31-07-2019,1.54
10-08-2019,1.96
20-08-2019,2.37
31-08-2019,2.55
10-09-2019,2.59
20-09-2019,NA
30-09-2019,2.03
10-10-2019,1.64
20-10-2019,1.26
31-10-2019,0.88
10-11-2019,0.68
20-11-2019,0.57
30-11-2019,0.5
10-12-2019,0.46
20-12-2019,0.4
31-12-2019,0.34
10-01-2020,0.29
20-01-2020,0.26
31-01-2020,0.22
10-02-2020,0.16
20-02-2020,0.13
29-02-2020,0.14
10-03-2020,0.14
20-03-2020,0.2
31-03-2020,0.35
10-04-2020,0.6
20-04-2020,0.81
30-04-2020,0.99
10-05-2020,1.1
20-05-2020,1.11
31-05-2020,0.98
10-06-2020,0.78
20-06-2020,0.64
30-06-2020,0.54
10-07-2020,NA
20-07-2020,NA
31-07-2020,NA
10-08-2020,NA
20-08-2020,2.84
31-08-2020,2.76
10-09-2020,2.66
20-09-2020,2.38
30-09-2020,1.98
10-10-2020,1.51
20-10-2020,1.02
31-10-2020,0.56
10-11-2020,0.45
20-11-2020,0.36
30-11-2020,0.31
10-12-2020,0.27
20-12-2020,0.22
31-12-2020,0.19
10-01-2021,0.18
20-01-2021,0.16
31-01-2021,0.13
10-02-2021,0.13
20-02-2021,0.13
28-02-2021,0.13
10-03-2021,0.13
20-03-2021,0.12
31-03-2021,0.11
10-04-2021,0.09
20-04-2021,0.19
30-04-2021,NA
10-05-2021,0.52
20-05-2021,0.61
31-05-2021,0.49
10-06-2021,0.35
20-06-2021,0.29
30-06-2021,0.39
10-07-2021,NA
20-07-2021,0.88
31-07-2021,NA
10-08-2021,1.88
20-08-2021,2.48
31-08-2021,2.97
10-09-2021,2.92
20-09-2021,2.4
30-09-2021,1.91
10-10-2021,1.6
20-10-2021,1.2
31-10-2021,0.82
10-11-2021,0.6
20-11-2021,0.47
30-11-2021,0.36
10-12-2021,0.29
20-12-2021,0.24
31-12-2021,0.2
10-01-2022,0.17
