Date,area_C - LAI
10-01-2015,0.6
20-01-2015,0.54
31-01-2015,0.69
10-02-2015,0.78
20-02-2015,0.82
28-02-2015,0.83
10-03-2015,0.84
20-03-2015,0.85
31-03-2015,0.89
10-04-2015,0.9
20-04-2015,1.17
30-04-2015,1.88
10-05-2015,3.27
20-05-2015,4.54
31-05-2015,5.43
10-06-2015,6.01
20-06-2015,6.12
30-06-2015,6.05
10-07-2015,5.95
20-07-2015,6.05
31-07-2015,5.95
10-08-2015,5.88
20-08-2015,5.81
31-08-2015,5.61
10-09-2015,5.46
20-09-2015,5.23
30-09-2015,4.75
10-10-2015,3.59
20-10-2015,2.29
31-10-2015,1.15
10-11-2015,0.54
20-11-2015,0.35
30-11-2015,NA
10-12-2015,NA
20-12-2015,NA
31-12-2015,NA
10-01-2016,NA
20-01-2016,0.74
31-01-2016,0.7
10-02-2016,0.79
20-02-2016,0.84
29-02-2016,0.89
10-03-2016,0.91
20-03-2016,0.93
31-03-2016,0.99
10-04-2016,1.08
20-04-2016,1.46
30-04-2016,2.43
10-05-2016,3.71
20-05-2016,4.78
31-05-2016,5.27
10-06-2016,5.7
20-06-2016,5.84
30-06-2016,5.71
10-07-2016,5.53
20-07-2016,5.26
31-07-2016,5.27
10-08-2016,5.36
20-08-2016,5.33
31-08-2016,5.13
10-09-2016,4.72
20-09-2016,4.21
30-09-2016,3.73
10-10-2016,3.11
20-10-2016,2.39
31-10-2016,1.34
10-11-2016,0.53
20-11-2016,NA
30-11-2016,NA
10-12-2016,NA
20-12-2016,NA
31-12-2016,NA
10-01-2017,NA
20-01-2017,NA
31-01-2017,0.67
10-02-2017,0.72
20-02-2017,0.75
28-02-2017,0.8
10-03-2017,0.81
20-03-2017,0.95
31-03-2017,1.11
10-04-2017,1.48
20-04-2017,2.1
30-04-2017,2.94
10-05-2017,4.18
20-05-2017,5.25
31-05-2017,5.87
10-06-2017,6.1
20-06-2017,6.09
30-06-2017,5.96
10-07-2017,5.84
20-07-2017,5.75
31-07-2017,5.74
10-08-2017,5.83
20-08-2017,5.72
31-08-2017,5.6
10-09-2017,5.19
20-09-2017,4.74
30-09-2017,4.16
10-10-2017,3.49
20-10-2017,2.65
31-10-2017,1.62
10-11-2017,1.32
20-11-2017,1.98
30-11-2017,NA
10-12-2017,NA
20-12-2017,NA
31-12-2017,NA
10-01-2018,NA
20-01-2018,NA
31-01-2018,NA
10-02-2018,0.8
20-02-2018,0.8
28-02-2018,0.7
10-03-2018,0.62
20-03-2018,0.22
31-03-2018,0.65
10-04-2018,1.46
20-04-2018,2.65
30-04-2018,4.28
10-05-2018,5.92
20-05-2018,5.85
31-05-2018,5.87
10-06-2018,5.91
20-06-2018,5.94
30-06-2018,5.97
10-07-2018,5.79
20-07-2018,5.35
31-07-2018,5.4
10-08-2018,5.21
20-08-2018,4.76
31-08-2018,4.28
10-09-2018,3.88
20-09-2018,3.57
30-09-2018,3.2
10-10-2018,2.76
20-10-2018,2.04
31-10-2018,1.42
10-11-2018,0.9
20-11-2018,0.41
30-11-2018,NA
10-12-2018,NA
20-12-2018,NA
31-12-2018,NA
10-01-2019,NA
20-01-2019,NA
31-01-2019,NA
10-02-2019,0.52
20-02-2019,0.65
28-02-2019,0.71
10-03-2019,0.74
20-03-2019,0.86
31-03-2019,0.95
10-04-2019,1.59
20-04-2019,2.59
30-04-2019,4.1
10-05-2019,5.16
20-05-2019,5.9
31-05-2019,6.25
10-06-2019,6.15
20-06-2019,5.99
30-06-2019,5.86
10-07-2019,5.77
20-07-2019,5.72
31-07-2019,5.52
10-08-2019,5.42
20-08-2019,5.33
31-08-2019,5.28
10-09-2019,5.14
20-09-2019,4.75
30-09-2019,4.2
10-10-2019,3.43
20-10-2019,2.52
31-10-2019,1.61
10-11-2019,2.39
20-11-2019,NA
30-11-2019,NA
10-12-2019,NA
20-12-2019,NA
31-12-2019,NA
10-01-2020,NA
20-01-2020,NA
31-01-2020,NA
10-02-2020,NA
20-02-2020,NA
29-02-2020,0.86
10-03-2020,0.92
20-03-2020,0.94
31-03-2020,0.97
10-04-2020,1.34
20-04-2020,3.14
30-04-2020,4.69
10-05-2020,5.68
20-05-2020,5.98
31-05-2020,6.09
10-06-2020,5.97
20-06-2020,5.96
30-06-2020,6
10-07-2020,5.9
20-07-2020,5.76
31-07-2020,5.54
10-08-2020,5.42
20-08-2020,5.22
31-08-2020,4.84
10-09-2020,4.28
20-09-2020,3.32
30-09-2020,4.62
10-10-2020,NA
20-10-2020,NA
31-10-2020,1.58
10-11-2020,NA
20-11-2020,0.78
30-11-2020,NA
10-12-2020,NA
20-12-2020,NA
31-12-2020,NA
10-01-2021,0.52
20-01-2021,NA
31-01-2021,0.58
10-02-2021,0.6
20-02-2021,0.62
28-02-2021,0.71
10-03-2021,0.78
20-03-2021,0.82
31-03-2021,0.87
10-04-2021,NA
20-04-2021,1.09
30-04-2021,1.98
10-05-2021,3.43
20-05-2021,NA
31-05-2021,5.64
10-06-2021,5.88
20-06-2021,5.92
30-06-2021,6.06
10-07-2021,NA
20-07-2021,6.05
31-07-2021,NA
10-08-2021,5.83
20-08-2021,5.74
31-08-2021,5.66
10-09-2021,5.36
20-09-2021,5.23
30-09-2021,NA
10-10-2021,4.08
20-10-2021,3.09
31-10-2021,1.62
10-11-2021,1.02
20-11-2021,NA
30-11-2021,NA
10-12-2021,NA
20-12-2021,NA
31-12-2021,0.39
10-01-2022,NA
